Company,CompanyRating,CompanyReviewCount,Currency,JobLocation,JobPosted,JobTitle,MaxSalary,MinSalary,SalaryType,WorkModel
Amazon Data Services Ireland Limited,3.5,51341,,"Dublin, County Dublin",30+ days ago,"Security Engineer I, Security Incident Response Team (SIRT)",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
MongoDB,3.6,50,,"Dublin, County Dublin",30+ days ago,"Technical Services Engineer, Partner",Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Adswizz,0,0,,"Dublin, County Dublin",30+ days ago,Senior Software Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Synopsys,0,0,,"Dublin, County Dublin",30+ days ago,SerDes System Architect,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
EP UK Investments,0,0,,"Dublin, County Dublin",30+ days ago,Gas and Power Shift Trader,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Aviva,3.7,751,,"Dublin, County Dublin",7 days ago,Reporting Actuary,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Susquehanna International Group,3.8,69,,"Dublin, County Dublin",30+ days ago,Trading Systems Performance Engineer | EMO | Experienced,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
"Mastercard, Inc.",4,795,,"Dublin, County Dublin",2 days ago,Senior Software Development Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Synopsys,0,0,,"Dublin, County Dublin",30+ days ago,Senior Insider Threat Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Expleo,3,173,,"Dublin, County Dublin",4 days ago,QA Lead,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Synopsys,0,0,,"Dublin, County Dublin",30+ days ago,ASIC Digital Verification Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Intesa Sanpaolo Group,3.8,315,,"Dublin, County Dublin",1 day ago,FAMI - Senior Global Equity & Quant Portfolio Manager 1,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Mediolanum International Funds Limited,3.5,2,,"Dublin, County Dublin",30+ days ago,Quantitative Portfolio Manager,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Microsoft,4.2,8633,,"Dublin, County Dublin",30 days ago,Security Engineer - Identity,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
New Relic,3.5,50,,"Dublin, County Dublin",30+ days ago,Technical Success Manager II,Not Disclosed,Not Disclosed,Not Disclosed,Remote
Amazon Data Services Ireland Limited,3.5,51341,,"Dublin, County Dublin",10 days ago,"Network Development Engineer, DCNE",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
EY,3.9,10236,,"DUBLIN 2, County Dublin",6 days ago,"Technology Consulting- Cloud Engineer, Manager",Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Amazon Data Services Ireland Limited,3.5,51341,,"Dublin, County Dublin",30+ days ago,"Security Engineer I, Security Incident Response Team (SIRT)",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Tether Operations Limited,0,0,,"Dublin, County Dublin",7 days ago,Technical Project Manager (100% Remote - Dublin),Not Disclosed,Not Disclosed,Not Disclosed,Remote
Amazon Data Services Ireland Limited - A65,3.5,51341,,"Dublin, County Dublin",19 days ago,"Security Engineer, Physical Operations Incident Response, SOC, Physical Operations Incident Response, AWS SOC",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
ZF,0,0,,"Dublin, County Dublin",30+ days ago,Full Stack Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Ancestry,3.8,115,,"Dublin, County Dublin",10 days ago,Supply Chain Analyst,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51341,,"Dublin, County Dublin",25 days ago,Cloud Support Engineer - DMS (Mandarin speaker),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Data Services Ireland Limited,3.5,51341,,"Dublin, County Dublin",30+ days ago,"AWS Systems Security Engineer , AWS Trust & Safety",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Optum,3.3,6596,,"Dublin, County Dublin",2 days ago,Senior Data Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Data Services Ireland Limited,3.5,51341,,"Dublin, County Dublin",30+ days ago,"Network Development Engineer , Network - Core",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51341,,"Dublin, County Dublin",18 days ago,"AWS Media Delivery Specialist, AWS Support Strategic Industries",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Synopsys,0,0,,"Dublin, County Dublin",30+ days ago,ASIC Digital Verification Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51341,,"Dublin, County Dublin",25 days ago,Cloud Support Engineer - DMS (Mandarin speaker),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
ZF,0,0,,"Dublin, County Dublin",30+ days ago,Full Stack Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Expleo,3,173,,"Dublin, County Dublin",4 days ago,QA Analyst,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51341,,"Dublin, County Dublin",3 days ago,"Software Development Engineer, Capacity Delivery Systems",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Data Services Ireland Limited,3.5,51341,,"Dublin, County Dublin",30+ days ago,"Network Development Engineer, Frontier Networking",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51341,,"Dublin, County Dublin",30+ days ago,"Systems Development Engineer , CloudWatch Infrastructure",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Microsoft,4.2,8633,,"Dublin, County Dublin",1 day ago,Senior Cloud Network Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Zurich Insurance,3.8,1562,,"Dublin, County Dublin",30+ days ago,Application Observability Lead,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Coinbase,0,0,,"Dublin, County Dublin",30+ days ago,Security Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Expleo,3,173,,"Dublin, County Dublin",4 days ago,SAP EWM Test Analyst,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51341,,"Dublin, County Dublin",10 days ago,"System Development Engineer, AWS DNS",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Microsoft,4.2,8633,,"Dublin, County Dublin",7 days ago,"Digital Solution Sales Specialist, Data & AI, French speaking",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Eirgrid / Soni LTD,0,0,,"Dublin, County Dublin",1 day ago,Principal Network Security Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Rapid7,0,0,,"Dublin, County Dublin",30+ days ago,Lead Software Engineer - D&R,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Spanish Point Technologies,0,0,,"DUBLIN 3, County Dublin",30+ days ago,Senior QA Automation Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
EY,3.9,10236,,"DUBLIN 2, County Dublin",8 days ago,Data Analytics & AI - Manager - Data Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Microsoft,4.2,8633,,"Dublin, County Dublin",30 days ago,Cloud Customer Engineer - Azure Sovereign,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Eaton,3.7,5536,,"Dublin, County Dublin",30+ days ago,Senior Principal Data Scientist,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Amazon Data Services Ireland Limited,3.5,51341,,"Dublin, County Dublin",30+ days ago,"Software Development Engineer, Amazon Security Platform Engineering",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Optum,3.3,6596,,"Dublin, County Dublin",3 days ago,Senior Project Manager - Data Analytics Model Governance,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Larian Studios,0,0,,"Dublin, County Dublin",30+ days ago,DevOps Build Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amundi,3.7,3405,,"Dublin, County Dublin",30+ days ago,VIE - Business Analyst Regulatory Expertise H/F,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Synopsys,0,0,,"Dublin, County Dublin",30+ days ago,ASIC Digital Design / Verification Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Aviva,3.7,751,,"Dublin, County Dublin",22 days ago,Reinsurance Actuary,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Coinbase,0,0,,"Dublin, County Dublin",30+ days ago,Security Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Aviva,3.7,751,,"Dublin, County Dublin",22 days ago,Reinsurance Actuary,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Larian Studios,0,0,,"Dublin, County Dublin",30+ days ago,DevOps Build Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Eaton,3.7,5536,,"Dublin, County Dublin",30+ days ago,Senior Principal Data Scientist,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Amazon Development Centre Ireland Limited,3.5,51341,,"Dublin, County Dublin",18 days ago,"Senior Research Scientist, AWS Incident Tooling & Response",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Eirgrid / Soni LTD,0,0,,"Dublin, County Dublin",1 day ago,Principal Network Security Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Apple,4.1,13448,,"Dublin, County Dublin",3 days ago,Site Reliability Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
AIG,3.7,4570,,"Dublin, County Dublin",30+ days ago,Actuarial Analyst,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Expleo,3,173,,"Dublin, County Dublin",4 days ago,QA Analyst,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Data Services Ireland Limited,3.5,51341,,"Dublin, County Dublin",30+ days ago,"Network Development Engineer , ESC team",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
"Mastercard, Inc.",4,795,,"Dublin, County Dublin",8 days ago,"Lead Architect, Software Engineering",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Microsoft,4.2,8633,,"Dublin, County Dublin",1 day ago,Senior Cloud Network Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
"Amazon EU SARL, Irish Branch",3.5,51341,,"Dublin, County Dublin",3 days ago,"Technical Acct Mgr, AWS Enterprise Support, AWS Enterprise Support, ES-EMEA-UKI",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
ING,0,0,,"Dublin, County Dublin",30+ days ago,Full Stack Engineer - Senior Developer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
PwC,3.9,9836,,"Dublin, County Dublin",30+ days ago,"Senior Data Scientist & Project Lead, AI (Senior Manager)",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51341,,"Dublin, County Dublin",10 days ago,"System Development Engineer, AWS DNS",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited - D94,3.5,51341,,"Dublin, County Dublin",Just posted,"Site Reliability Engineer, ESC Managed Operations",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
EY,3.9,10236,,"DUBLIN 2, County Dublin",8 days ago,FS Technology Consulting - AI and Data - Enterprise Data Consultant - Senior Consultant - Dublin,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Fisher Investments Europe,0,0,,"Dublin, County Dublin",30+ days ago,Senior Information Security Response Specialist,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Rapid7,0,0,,"Dublin, County Dublin",30+ days ago,Lead Software Engineer - D&R,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Apple,4.1,13448,,"Dublin, County Dublin",30+ days ago,Tech Lead - Cloud Engineering,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Meta,4.1,756,,"Dublin, County Dublin",30+ days ago,"Production Systems Engineer, Hardware",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Sirius XM,0,0,,"Dublin, County Dublin",30+ days ago,"Staff Technical Program Manager, Automotive Software",Not Disclosed,Not Disclosed,Not Disclosed,Remote
Citi,3.9,20153,,"Dublin, County Dublin",30+ days ago,Senior SRE/Observability Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Data Services Ireland Limited,3.5,51341,,"Dublin, County Dublin",30+ days ago,"Network Development Engineer , ESC team",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Microsoft,4.2,8633,,"Dublin, County Dublin",4 days ago,Principal Software Engineering Manager - Azure Core,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
U.S. Bank National Association,3.6,11341,,"Dublin, County Dublin",Just posted,Senior Automation Test Specialist,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
DraftKings,0,0,,"Dublin, County Dublin",23 days ago,Senior Data Science Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
PwC,3.9,9836,,"Dublin, County Dublin",30+ days ago,"Senior Data Scientist & Project Lead, AI (Senior Manager)",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Eirgrid / Soni LTD,0,0,,"Dublin, County Dublin",1 day ago,Principal Network Security Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
auticon,0,0,,"Dublin, County Dublin",30+ days ago,Data Consultant (Dublin),47000,30000,yearly,Hybrid work
Eirgrid / Soni LTD,0,0,,"Dublin, County Dublin",1 day ago,Principal Network Security Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Sirius XM,0,0,,"Dublin, County Dublin",30+ days ago,"Senior Technical Program Manager, Software",Not Disclosed,Not Disclosed,Not Disclosed,Remote
"Amazon EU SARL, Irish Branch",3.5,51341,,"Dublin, County Dublin",3 days ago,"Technical Acct Mgr, AWS Enterprise Support, AWS Enterprise Support, ES-EMEA-UKI",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Qorvo,0,0,,"Dublin, County Dublin",30+ days ago,Sr Silicon Systems Validation Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Synopsys,0,0,,"Dublin, County Dublin",30+ days ago,"ASIC Digital Design, Principal Engineer",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Mastercard,4,795,,"Dublin, County Dublin",27 days ago,Senior DevOps Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51341,,"Dublin, County Dublin",4 days ago,"Site Reliability Engineer , CloudWatch Infrastructure",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51341,,"Dublin, County Dublin",30+ days ago,Analytics Cloud Support Engineer- Spanish Speaker,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51341,,"Dublin, County Dublin",1 day ago,"System Development Engineer II, Network Availability Engineering",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Autodesk,4.1,570,,"Dublin, County Dublin",16 days ago,Principal Software Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Citco,3.3,397,,"Dublin, County Dublin",30+ days ago,OTC/HTV Pricing AVP,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Vodafone,3.8,7497,,"Dublin, County Dublin",8 days ago,Credit Risk Manager,Not Disclosed,Not Disclosed,Not Disclosed,Remote
ByteDance,0,0,,"Dublin, County Dublin",30+ days ago,Site Reliability Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amundi,3.7,3405,,"Dublin, County Dublin",30+ days ago,VIE - Business Analyst Regulatory Expertise H/F,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Microsoft,4.2,8633,,"Dublin, County Dublin",30 days ago,Cloud Customer Engineer - Azure Sovereign,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
EY,3.9,10236,,"DUBLIN 2, County Dublin",19 days ago,"FS Technology Consulting -Data Analyst, Customer and Channels - Senior Consultant/ Manager - Dublin",Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Amazon Web Services EMEA SARL (Irish Branch),3.5,51341,,"Dublin, County Dublin",30+ days ago,Analytics Cloud Support Engineer- Spanish Speaker,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
State Street Corporation,3.5,3173,,"Dublin, County Dublin",2 days ago,Senior Cloud Incident Responder Analyst,Not Disclosed,Not Disclosed,Not Disclosed,Remote
Wikimedia Foundation,0,0,,"Dublin, County Dublin",30+ days ago,"Senior Site Reliability Engineer, Data Engineering",Not Disclosed,Not Disclosed,Not Disclosed,Remote
Apple,4.1,13448,,"Dublin, County Dublin",30+ days ago,Tech Lead - Cloud Engineering,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51341,,"Dublin, County Dublin",4 days ago,"Site Reliability Engineer , CloudWatch Infrastructure",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51341,,"Dublin, County Dublin",30+ days ago,"Software Development Manager, Network Lifecycle Management, Configuration Services",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Mastercard,4,795,,"Dublin, County Dublin",27 days ago,Senior DevOps Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Sirius XM,0,0,,"Dublin, County Dublin",30+ days ago,Senior SW Test Development: Test Framework Developer,Not Disclosed,Not Disclosed,Not Disclosed,Remote
Adswizz,0,0,,"Dublin, County Dublin",30+ days ago,Senior SW Test Development: Test Framework Developer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51341,,"Dublin, County Dublin",30+ days ago,"Storage Cloud Support Engineer- Spanish Speaker, Cloud Support Eng. II (NINF)",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Citco,3.3,397,,"Dublin, County Dublin",30+ days ago,OTC/HTV Pricing AVP,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Synopsys,0,0,,"Dublin, County Dublin",30+ days ago,"ASIC Digital Design, Principal Engineer",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51341,,"Dublin, County Dublin",30+ days ago,Storage Cloud Support Engineer- Portuguese Speaker,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51341,,"Dublin, County Dublin",4 days ago,"Systems Development Engineer, Managed Operations",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Susquehanna International Group,3.8,69,,"Dublin, County Dublin",25 days ago,SRE - Monitoring Systems Engineer- Experienced,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Tether Operations Limited,0,0,,"Dublin, County Dublin",7 days ago,Head of AI Research & Development (100% remote - Dublin),Not Disclosed,Not Disclosed,Not Disclosed,Remote
The Bank of New York Mellon Corporation,3.5,5399,,County Dublin,30+ days ago,"Vice President, Data Scientist I",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Microsoft,4.2,8633,,"Dublin, County Dublin",10 days ago,Digital Enterprise Specialist - Data & AI (German Speaking),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51341,,"Dublin, County Dublin",30+ days ago,"Bilingual Incident Management Engineer (E2M) - English & Japanese speaking, Incident Detection and Response",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51341,,"Dublin, County Dublin",4 days ago,"Systems Development Engineer, Managed Operations",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Wikimedia Foundation,0,0,,"Dublin, County Dublin",30+ days ago,"Senior Site Reliability Engineer, Data Engineering",Not Disclosed,Not Disclosed,Not Disclosed,Remote
Microsoft,4.2,8633,,"Dublin, County Dublin",24 days ago,Principal Engineering Manager - Azure CXP,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited - D94,3.5,51341,,"Dublin, County Dublin",15 days ago,"System Development Engineer, Managed Operations",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Groupon,3.6,903,,"Dublin, County Dublin",30+ days ago,Cloud Platform Lead Engineer (GCP Platform Experience),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51341,,"Dublin, County Dublin",30+ days ago,"Senior Data Engineer, Intelligent Cloud Hosting",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
EY,3.9,10236,,"DUBLIN 2, County Dublin",8 days ago,"FS Technology Consulting - AI and Data - Data Consultant, Risk and Finance - Snr Consultant/Manager",Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Optum,3.3,6596,,"Dublin, County Dublin",21 days ago,Principal Data Engineer - Azure Cloud Infrastructure,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Northern Trust Corp.,3.8,1405,,"Dublin, County Dublin",30+ days ago,Senior Lead Cloud Engineer (Terraform and Azure),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Mediolanum International Funds Limited,3.5,2,,"Dublin, County Dublin",30+ days ago,Senior Portfolio Manager - Multi Management,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Groupon,3.6,903,,"Dublin, County Dublin",30+ days ago,Cloud Platform Lead Engineer (GCP Platform Experience),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
AECOM,3.7,5456,,"Dublin, County Dublin",30+ days ago,"Transmission & Distribution Engineering Graduate - Dublin, Ireland - June 25 start",Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Amazon Web Services EMEA SARL (Irish Branch),3.5,51341,,"Dublin, County Dublin",30+ days ago,"Bilingual Incident Management Engineer (E2M) - English & Japanese speaking, Incident Detection and Response",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Data Services Ireland Limited,3.5,51341,,"Dublin, County Dublin",18 days ago,"Optical Network Development Engineer, Data Center Regional Engineering Services (DRES) - Optical",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
The Bank of New York Mellon Corporation,3.5,5399,,County Dublin,30+ days ago,"Vice President, Data Scientist I",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51341,,"Dublin, County Dublin",30+ days ago,Cloud Support Engineer (Korean speaker),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Mediolanum International Funds Limited,3.5,2,,"Dublin, County Dublin",30+ days ago,Senior Portfolio Manager - Multi Management,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51341,,"Dublin, County Dublin",30+ days ago,Containers Cloud Support Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Autodesk,4.1,570,,"Dublin, County Dublin",16 days ago,Principal Engineer - SRE/DevOps,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Northern Trust Corp.,3.8,1405,,"Dublin, County Dublin",30+ days ago,Senior Lead Cloud Engineer (Terraform and Azure),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Microsoft,4.2,8633,,"Dublin, County Dublin",24 days ago,Principal Engineering Manager - Azure CXP,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
EY,3.9,10236,,"DUBLIN 2, County Dublin",19 days ago,"Technology Consulting- Cloud Security Architect, AM/Manager",Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Apple,4.1,13448,,"Dublin, County Dublin",3 days ago,SRE Manager,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51341,,"Dublin, County Dublin",30+ days ago,Deployment Cloud Support Engineer- Portuguese Speaker,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Deloitte,3.9,13573,,"Dublin, County Dublin",30+ days ago,"Actuarial Non Life Senior Consultant/Assistant Manager/Manager, Hybrid",Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
